,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,error
13,0.786,0.723,10.0,-5.752,0.0,0.158,0.00869,0.0,0.399,0.604,132.016,audio_features,0jNUIWtEOJBARXIeihqh4i,spotify:track:0jNUIWtEOJBARXIeihqh4i,https://api.spotify.com/v1/tracks/0jNUIWtEOJBARXIeihqh4i,https://api.spotify.com/v1/audio-analysis/0jNUIWtEOJBARXIeihqh4i,203333.0,4.0,2PM,Without U-Japanese ver.-,
14,0.703,0.842,11.0,-4.546,1.0,0.0443,0.0387,0.0,0.132,0.706,147.957,audio_features,2BAQAVxZYCrn9pwwPLFtAv,spotify:track:2BAQAVxZYCrn9pwwPLFtAv,https://api.spotify.com/v1/tracks/2BAQAVxZYCrn9pwwPLFtAv,https://api.spotify.com/v1/audio-analysis/2BAQAVxZYCrn9pwwPLFtAv,246768.0,4.0,2PM,하.니.뿐.,
15,0.557,0.533,10.0,-6.817,0.0,0.0252,0.0492,0.0,0.205,0.233,143.994,audio_features,3NLrRZoMF0Lx6zTlYqeIo4,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,https://api.spotify.com/v1/tracks/3NLrRZoMF0Lx6zTlYqeIo4,https://api.spotify.com/v1/audio-analysis/3NLrRZoMF0Lx6zTlYqeIo4,238733.0,4.0,3 Doors Down,Here Without You,
16,0.545,0.865,11.0,-5.708,0.0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,audio_features,6ZOBP3NvffbU4SZcrnt1k6,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/tracks/6ZOBP3NvffbU4SZcrnt1k6,https://api.spotify.com/v1/audio-analysis/6ZOBP3NvffbU4SZcrnt1k6,233933.0,4.0,3 Doors Down,Kryptonite,
17,0.53,0.768,7.0,-5.611,1.0,0.0284,0.00385,0.0,0.103,0.374,148.095,audio_features,3WbphvawbMZ8FyqDxYGdSQ,spotify:track:3WbphvawbMZ8FyqDxYGdSQ,https://api.spotify.com/v1/tracks/3WbphvawbMZ8FyqDxYGdSQ,https://api.spotify.com/v1/audio-analysis/3WbphvawbMZ8FyqDxYGdSQ,260333.0,4.0,3 Doors Down,When I'm Gone,
18,0.791,0.713,5.0,-3.742,0.0,0.254,0.0163,0.0,0.189,0.514,130.012,audio_features,5jzX4dWVQeBTtfBaXnMRt5,spotify:track:5jzX4dWVQeBTtfBaXnMRt5,https://api.spotify.com/v1/tracks/5jzX4dWVQeBTtfBaXnMRt5,https://api.spotify.com/v1/audio-analysis/5jzX4dWVQeBTtfBaXnMRt5,192573.0,4.0,3OH!3,DONTTRUSTME,
19,0.682,0.889,0.0,-4.166,1.0,0.0804,0.00564,0.0,0.36,0.827,138.021,audio_features,17tDv8WA8IhqE8qzuQn707,spotify:track:17tDv8WA8IhqE8qzuQn707,https://api.spotify.com/v1/tracks/17tDv8WA8IhqE8qzuQn707,https://api.spotify.com/v1/audio-analysis/17tDv8WA8IhqE8qzuQn707,192440.0,4.0,3OH!3,My First Kiss (feat. Ke$ha),
20,0.565,0.564,2.0,-10.044,1.0,0.0292,0.161,0.0,0.114,0.454,134.355,audio_features,0jWgAnTrNZmOGmqgvHhZEm,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/tracks/0jWgAnTrNZmOGmqgvHhZEm,https://api.spotify.com/v1/audio-analysis/0jWgAnTrNZmOGmqgvHhZEm,295533.0,4.0,4 Non Blondes,What's Up?,
21,0.651,0.772,11.0,-2.503,0.0,0.0529,0.00775,0.0,0.105,0.519,127.994,audio_features,7bGGzX0ECTiAVnkqh5Iw8e,spotify:track:7bGGzX0ECTiAVnkqh5Iw8e,https://api.spotify.com/v1/tracks/7bGGzX0ECTiAVnkqh5Iw8e,https://api.spotify.com/v1/audio-analysis/7bGGzX0ECTiAVnkqh5Iw8e,205293.0,4.0,4Minute,I My Me Mine (Japanese Ver.),
22,0.641,0.877,3.0,-2.726,0.0,0.0337,0.014,0.000131,0.0792,0.454,130.045,audio_features,2RKgRT8O8K3DXfsGfnbNWx,spotify:track:2RKgRT8O8K3DXfsGfnbNWx,https://api.spotify.com/v1/tracks/2RKgRT8O8K3DXfsGfnbNWx,https://api.spotify.com/v1/audio-analysis/2RKgRT8O8K3DXfsGfnbNWx,230008.0,4.0,4Minute,Volume Up,
23,0.458,0.958,2.0,-4.012,1.0,0.198,0.000325,0.000377,0.355,0.352,160.121,audio_features,3CHwhGXeK1kCzxfbmoRK1d,spotify:track:3CHwhGXeK1kCzxfbmoRK1d,https://api.spotify.com/v1/tracks/3CHwhGXeK1kCzxfbmoRK1d,https://api.spotify.com/v1/audio-analysis/3CHwhGXeK1kCzxfbmoRK1d,189009.0,4.0,5 Seconds of Summer,18,
24,0.572,0.499,2.0,-5.237,1.0,0.0311,0.0283,0.0,0.213,0.108,101.593,audio_features,1JCCdiru7fhstOIF4N7WJC,spotify:track:1JCCdiru7fhstOIF4N7WJC,https://api.spotify.com/v1/tracks/1JCCdiru7fhstOIF4N7WJC,https://api.spotify.com/v1/audio-analysis/1JCCdiru7fhstOIF4N7WJC,237248.0,4.0,5 Seconds of Summer,Amnesia,
25,0.571,0.957,8.0,-3.468,1.0,0.0633,0.00209,1.5e-05,0.0425,0.892,149.946,audio_features,57MOpbjOIoWMZnstWOtfm6,spotify:track:57MOpbjOIoWMZnstWOtfm6,https://api.spotify.com/v1/tracks/57MOpbjOIoWMZnstWOtfm6,https://api.spotify.com/v1/audio-analysis/57MOpbjOIoWMZnstWOtfm6,169936.0,4.0,5 Seconds of Summer,Don't Stop,
26,0.501,0.983,3.0,-4.09,1.0,0.209,0.0173,0.0,0.279,0.411,151.996,audio_features,7lNqCbnqD6gQpfl5HquF1o,spotify:track:7lNqCbnqD6gQpfl5HquF1o,https://api.spotify.com/v1/tracks/7lNqCbnqD6gQpfl5HquF1o,https://api.spotify.com/v1/audio-analysis/7lNqCbnqD6gQpfl5HquF1o,181895.0,4.0,5 Seconds of Summer,End Up Here,
27,0.531,0.915,4.0,-5.215,1.0,0.0828,0.0131,0.0,0.119,0.557,141.06,audio_features,5XwIdRXvHTtxH5BmBOSCCM,spotify:track:5XwIdRXvHTtxH5BmBOSCCM,https://api.spotify.com/v1/tracks/5XwIdRXvHTtxH5BmBOSCCM,https://api.spotify.com/v1/audio-analysis/5XwIdRXvHTtxH5BmBOSCCM,206424.0,4.0,5 Seconds of Summer,Good Girls,
28,0.471,0.789,10.0,-3.62,1.0,0.0602,0.000962,0.0,0.0649,0.684,166.99,audio_features,556IN8IgPqZORjhmlyAXaP,spotify:track:556IN8IgPqZORjhmlyAXaP,https://api.spotify.com/v1/tracks/556IN8IgPqZORjhmlyAXaP,https://api.spotify.com/v1/audio-analysis/556IN8IgPqZORjhmlyAXaP,198374.0,4.0,5 Seconds of Summer,Heartbreak Girl,
29,0.611,0.52,0.0,-5.445,1.0,0.0346,0.0132,0.0,0.105,0.771,159.927,audio_features,6GzApXoBQiiAjak3tOQfV3,spotify:track:6GzApXoBQiiAjak3tOQfV3,https://api.spotify.com/v1/tracks/6GzApXoBQiiAjak3tOQfV3,https://api.spotify.com/v1/audio-analysis/6GzApXoBQiiAjak3tOQfV3,149878.0,4.0,5 Seconds of Summer,Lie To Me (feat. Julia Michaels),
30,0.722,0.62,0.0,-3.639,1.0,0.0483,0.313,0.0,0.26,0.474,127.978,audio_features,58qO4dGa5SgNdtvqvpewyz,spotify:track:58qO4dGa5SgNdtvqvpewyz,https://api.spotify.com/v1/tracks/58qO4dGa5SgNdtvqvpewyz,https://api.spotify.com/v1/audio-analysis/58qO4dGa5SgNdtvqvpewyz,186786.0,4.0,5 Seconds of Summer,Old Me,
31,0.494,0.951,9.0,-4.237,1.0,0.132,0.000569,0.0,0.327,0.441,160.025,audio_features,1gugDOSMREb34Xo0c1PlxM,spotify:track:1gugDOSMREb34Xo0c1PlxM,https://api.spotify.com/v1/tracks/1gugDOSMREb34Xo0c1PlxM,https://api.spotify.com/v1/audio-analysis/1gugDOSMREb34Xo0c1PlxM,202496.0,4.0,5 Seconds of Summer,She Looks So Perfect,
32,0.664,0.908,4.0,-4.806,1.0,0.0317,0.00182,0.0,0.109,0.889,118.031,audio_features,5fsQSDifYpjfbCqvZKPVBj,spotify:track:5fsQSDifYpjfbCqvZKPVBj,https://api.spotify.com/v1/tracks/5fsQSDifYpjfbCqvZKPVBj,https://api.spotify.com/v1/audio-analysis/5fsQSDifYpjfbCqvZKPVBj,216454.0,4.0,5 Seconds of Summer,She's Kinda Hot,
33,0.596,0.854,7.0,-5.114,0.0,0.463,0.0169,0.0,0.124,0.152,120.274,audio_features,2iUXsYOEPhVqEBwsqP70rE,spotify:track:2iUXsYOEPhVqEBwsqP70rE,https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE,https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE,203418.0,4.0,5 Seconds of Summer,Youngblood,
34,0.902,0.72,6.0,-2.776,0.0,0.347,0.26,0.0,0.0749,0.805,90.059,audio_features,4RY96Asd9IefaL3X4LOLZ8,spotify:track:4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/tracks/4RY96Asd9IefaL3X4LOLZ8,https://api.spotify.com/v1/audio-analysis/4RY96Asd9IefaL3X4LOLZ8,193467.0,4.0,50 Cent,In Da Club,
35,0.674,0.889,8.0,-2.696,1.0,0.0447,0.00909,0.000747,0.0896,0.928,117.976,audio_features,0z5aHn9UTj2vgECcrEKBv0,spotify:track:0z5aHn9UTj2vgECcrEKBv0,https://api.spotify.com/v1/tracks/0z5aHn9UTj2vgECcrEKBv0,https://api.spotify.com/v1/audio-analysis/0z5aHn9UTj2vgECcrEKBv0,199445.0,4.0,9MUSES,Figaro,
36,0.686,0.97,3.0,-1.284,0.0,0.0901,0.0636,1.09e-06,0.113,0.62,123.034,audio_features,7t6AuwWywGBlDzCFKGzeQp,spotify:track:7t6AuwWywGBlDzCFKGzeQp,https://api.spotify.com/v1/tracks/7t6AuwWywGBlDzCFKGzeQp,https://api.spotify.com/v1/audio-analysis/7t6AuwWywGBlDzCFKGzeQp,182256.0,4.0,9MUSES,News,
37,0.698,0.94,3.0,-2.551,0.0,0.086,0.0253,0.0,0.25,0.839,132.933,audio_features,3hgOyrjBko4gPQRCZjedDU,spotify:track:3hgOyrjBko4gPQRCZjedDU,https://api.spotify.com/v1/tracks/3hgOyrjBko4gPQRCZjedDU,https://api.spotify.com/v1/audio-analysis/3hgOyrjBko4gPQRCZjedDU,184660.0,4.0,9MUSES,Wild,
38,0.349,0.981,2.0,-3.228,0.0,0.141,2.58e-05,0.0,0.343,0.207,160.042,audio_features,4JsDHMv5PVO8N07DbDq33r,spotify:track:4JsDHMv5PVO8N07DbDq33r,https://api.spotify.com/v1/tracks/4JsDHMv5PVO8N07DbDq33r,https://api.spotify.com/v1/audio-analysis/4JsDHMv5PVO8N07DbDq33r,202640.0,4.0,A Day To Remember,All I Want,
39,0.461,0.94,11.0,-3.622,1.0,0.0851,0.000286,2.35e-06,0.107,0.51,138.016,audio_features,1KbAeYXHKBl8zPVOFi9LEl,spotify:track:1KbAeYXHKBl8zPVOFi9LEl,https://api.spotify.com/v1/tracks/1KbAeYXHKBl8zPVOFi9LEl,https://api.spotify.com/v1/audio-analysis/1KbAeYXHKBl8zPVOFi9LEl,211327.0,4.0,A Day To Remember,Leave All The Lights On,
40,0.491,0.859,0.0,-5.021,1.0,0.106,2.65e-05,0.0,0.385,0.666,148.875,audio_features,2cZsWmiDkjRxBKorL7Idp6,spotify:track:2cZsWmiDkjRxBKorL7Idp6,https://api.spotify.com/v1/tracks/2cZsWmiDkjRxBKorL7Idp6,https://api.spotify.com/v1/audio-analysis/2cZsWmiDkjRxBKorL7Idp6,211133.0,4.0,A Day To Remember,NJ Legion Iced Tea,
41,0.351,0.979,0.0,-3.621,1.0,0.132,0.000124,3.46e-06,0.255,0.333,174.734,audio_features,2RgUp8wGi8bpELvHJpRDWD,spotify:track:2RgUp8wGi8bpELvHJpRDWD,https://api.spotify.com/v1/tracks/2RgUp8wGi8bpELvHJpRDWD,https://api.spotify.com/v1/audio-analysis/2RgUp8wGi8bpELvHJpRDWD,199391.0,4.0,A Day To Remember,Naivety,
42,0.788,0.685,0.0,-5.874,1.0,0.028,0.0263,0.000126,0.111,0.599,124.001,audio_features,3nZBR8LOcyeKa9GO7ZdDoG,spotify:track:3nZBR8LOcyeKa9GO7ZdDoG,https://api.spotify.com/v1/tracks/3nZBR8LOcyeKa9GO7ZdDoG,https://api.spotify.com/v1/audio-analysis/3nZBR8LOcyeKa9GO7ZdDoG,188588.0,4.0,A R I Z O N A,Find Someone,
43,0.617,0.642,8.0,-8.624,1.0,0.0334,0.13,0.157,0.0929,0.221,105.885,audio_features,6A8dnC0xkiuWN4BshmTB2I,spotify:track:6A8dnC0xkiuWN4BshmTB2I,https://api.spotify.com/v1/tracks/6A8dnC0xkiuWN4BshmTB2I,https://api.spotify.com/v1/audio-analysis/6A8dnC0xkiuWN4BshmTB2I,194013.0,4.0,A R I Z O N A,Oceans Away,
44,0.712,0.981,11.0,-1.466,0.0,0.0414,0.0531,1.44e-05,0.674,0.937,118.005,audio_features,2wWAqkWPHBS2nncrNB2ZMO,spotify:track:2wWAqkWPHBS2nncrNB2ZMO,https://api.spotify.com/v1/tracks/2wWAqkWPHBS2nncrNB2ZMO,https://api.spotify.com/v1/audio-analysis/2wWAqkWPHBS2nncrNB2ZMO,191480.0,4.0,A*Teens,Closer To Perfection,
45,0.5,0.554,9.0,-8.108,1.0,0.0354,0.734,3.72e-06,0.312,0.372,84.229,audio_features,762B4bOcXF7I2Y8UlKTyTy,spotify:track:762B4bOcXF7I2Y8UlKTyTy,https://api.spotify.com/v1/tracks/762B4bOcXF7I2Y8UlKTyTy,https://api.spotify.com/v1/audio-analysis/762B4bOcXF7I2Y8UlKTyTy,326320.0,4.0,ABBA,Chiquitita,
46,0.703,0.824,7.0,-5.17,1.0,0.0364,0.0504,9.19e-05,0.097,0.971,135.24,audio_features,45EaIq9lKyoQxxTjFkiGbl,spotify:track:45EaIq9lKyoQxxTjFkiGbl,https://api.spotify.com/v1/tracks/45EaIq9lKyoQxxTjFkiGbl,https://api.spotify.com/v1/audio-analysis/45EaIq9lKyoQxxTjFkiGbl,193560.0,4.0,ABBA,Does Your Mother Know,
47,0.549,0.374,10.0,-12.049,1.0,0.0244,0.6,0.0,0.178,0.439,104.311,audio_features,1PtJclc46wTk367PlsU6Uj,spotify:track:1PtJclc46wTk367PlsU6Uj,https://api.spotify.com/v1/tracks/1PtJclc46wTk367PlsU6Uj,https://api.spotify.com/v1/audio-analysis/1PtJclc46wTk367PlsU6Uj,285413.0,4.0,ABBA,I Have A Dream,
48,0.695,0.701,0.0,-6.435,1.0,0.0281,0.0187,0.0464,0.251,0.58,133.0,audio_features,2245x0g1ft0HC7sf79zbYN,spotify:track:2245x0g1ft0HC7sf79zbYN,https://api.spotify.com/v1/tracks/2245x0g1ft0HC7sf79zbYN,https://api.spotify.com/v1/audio-analysis/2245x0g1ft0HC7sf79zbYN,272507.0,4.0,ABBA,Lay All Your Love On Me,
49,0.749,0.748,2.0,-7.011,1.0,0.0323,0.295,0.000443,0.469,0.827,137.547,audio_features,2TxCwUlqaOH3TIyJqGgR91,spotify:track:2TxCwUlqaOH3TIyJqGgR91,https://api.spotify.com/v1/tracks/2TxCwUlqaOH3TIyJqGgR91,https://api.spotify.com/v1/audio-analysis/2TxCwUlqaOH3TIyJqGgR91,213267.0,4.0,ABBA,Mamma Mia,
50,0.756,0.741,9.0,-6.426,0.0,0.0364,0.43,0.00113,0.0807,0.691,120.445,audio_features,29FNeqjOV2kPWGS55qhtGB,spotify:track:29FNeqjOV2kPWGS55qhtGB,https://api.spotify.com/v1/tracks/29FNeqjOV2kPWGS55qhtGB,https://api.spotify.com/v1/audio-analysis/29FNeqjOV2kPWGS55qhtGB,186787.0,4.0,ABBA,"Money, Money, Money",
51,0.646,0.388,7.0,-15.264,1.0,0.0388,0.495,0.000634,0.0673,0.854,82.216,audio_features,6zgtBUEkAfilJ2YEOvNexR,spotify:track:6zgtBUEkAfilJ2YEOvNexR,https://api.spotify.com/v1/tracks/6zgtBUEkAfilJ2YEOvNexR,https://api.spotify.com/v1/audio-analysis/6zgtBUEkAfilJ2YEOvNexR,237720.0,4.0,ABBA,One Of Us,
52,0.393,0.719,5.0,-4.773,1.0,0.0279,0.0629,0.00432,0.219,0.497,124.353,audio_features,5pMmWfuL0FTGshYt7HVJ8P,spotify:track:5pMmWfuL0FTGshYt7HVJ8P,https://api.spotify.com/v1/tracks/5pMmWfuL0FTGshYt7HVJ8P,https://api.spotify.com/v1/audio-analysis/5pMmWfuL0FTGshYt7HVJ8P,201360.0,4.0,ABBA,SOS,
53,0.476,0.858,7.0,-5.66,0.0,0.0371,0.0138,0.0,0.177,0.765,130.703,audio_features,35iCSlFxyiawRBUOtQAkeT,spotify:track:35iCSlFxyiawRBUOtQAkeT,https://api.spotify.com/v1/tracks/35iCSlFxyiawRBUOtQAkeT,https://api.spotify.com/v1/audio-analysis/35iCSlFxyiawRBUOtQAkeT,214707.0,4.0,ABBA,Summer Night City,
54,0.764,0.626,0.0,-8.274,1.0,0.0288,0.457,6.35e-06,0.201,0.961,118.34,audio_features,0J2p4KYdr6Mg4ET6JPlbe1,spotify:track:0J2p4KYdr6Mg4ET6JPlbe1,https://api.spotify.com/v1/tracks/0J2p4KYdr6Mg4ET6JPlbe1,https://api.spotify.com/v1/audio-analysis/0J2p4KYdr6Mg4ET6JPlbe1,252853.0,4.0,ABBA,Super Trouper,
55,0.684,0.675,11.0,-8.123,1.0,0.0257,0.163,0.0,0.242,0.924,107.064,audio_features,5BckPAYcKEJuYs1eV1BHHe,spotify:track:5BckPAYcKEJuYs1eV1BHHe,https://api.spotify.com/v1/tracks/5BckPAYcKEJuYs1eV1BHHe,https://api.spotify.com/v1/audio-analysis/5BckPAYcKEJuYs1eV1BHHe,243933.0,4.0,ABBA,Take A Chance On Me,
56,0.656,0.565,9.0,-8.722,1.0,0.0301,0.357,0.000192,0.0629,0.615,77.049,audio_features,1lDo24S34NvI1pAg7Oxldc,spotify:track:1lDo24S34NvI1pAg7Oxldc,https://api.spotify.com/v1/tracks/1lDo24S34NvI1pAg7Oxldc,https://api.spotify.com/v1/audio-analysis/1lDo24S34NvI1pAg7Oxldc,291867.0,4.0,ABBA,The Name Of The Game,
57,0.454,0.788,6.0,-6.748,1.0,0.0371,0.574,0.000766,0.0859,0.52,126.15,audio_features,3oEkrIfXfSh9zGnE7eBzSV,spotify:track:3oEkrIfXfSh9zGnE7eBzSV,https://api.spotify.com/v1/tracks/3oEkrIfXfSh9zGnE7eBzSV,https://api.spotify.com/v1/audio-analysis/3oEkrIfXfSh9zGnE7eBzSV,294720.0,4.0,ABBA,The Winner Takes It All,
58,0.445,0.949,2.0,-4.682,1.0,0.0471,0.395,8.18e-06,0.0902,0.653,147.604,audio_features,3Dy4REq8O09IlgiwuHQ3sk,spotify:track:3Dy4REq8O09IlgiwuHQ3sk,https://api.spotify.com/v1/tracks/3Dy4REq8O09IlgiwuHQ3sk,https://api.spotify.com/v1/audio-analysis/3Dy4REq8O09IlgiwuHQ3sk,168960.0,4.0,ABBA,Waterloo,
59,0.574,0.913,6.0,-4.793,0.0,0.133,0.061,0.00158,0.156,0.423,115.728,audio_features,2zYzyRzz6pRmhPzyfMEC8s,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,https://api.spotify.com/v1/tracks/2zYzyRzz6pRmhPzyfMEC8s,https://api.spotify.com/v1/audio-analysis/2zYzyRzz6pRmhPzyfMEC8s,208400.0,4.0,AC/DC,Highway to Hell,
60,0.606,0.872,7.0,-2.114,0.0,0.0519,0.262,0.0,0.125,0.226,129.965,audio_features,2MYfUH4Zo7gphaxmMVDrie,spotify:track:2MYfUH4Zo7gphaxmMVDrie,https://api.spotify.com/v1/tracks/2MYfUH4Zo7gphaxmMVDrie,https://api.spotify.com/v1/audio-analysis/2MYfUH4Zo7gphaxmMVDrie,232333.0,4.0,AILEE,I will show you,
61,0.65,0.877,2.0,-1.918,0.0,0.0398,0.0346,0.0,0.334,0.906,107.878,audio_features,1wKOJ2fTflDiABy1EbFflM,spotify:track:1wKOJ2fTflDiABy1EbFflM,https://api.spotify.com/v1/tracks/1wKOJ2fTflDiABy1EbFflM,https://api.spotify.com/v1/audio-analysis/1wKOJ2fTflDiABy1EbFflM,194713.0,4.0,AILEE,U & I,
62,0.68,0.874,8.0,-2.186,0.0,0.0363,0.00543,0.0,0.0663,0.317,137.099,audio_features,66s0vvZTafY6lLx36xXB5M,spotify:track:66s0vvZTafY6lLx36xXB5M,https://api.spotify.com/v1/tracks/66s0vvZTafY6lLx36xXB5M,https://api.spotify.com/v1/audio-analysis/66s0vvZTafY6lLx36xXB5M,213995.0,4.0,AOA,GET OUT,
63,0.661,0.97,0.0,-1.802,1.0,0.091,0.137,0.0,0.887,0.773,125.993,audio_features,7pm5uhK7xiEM9fQvuCE78l,spotify:track:7pm5uhK7xiEM9fQvuCE78l,https://api.spotify.com/v1/tracks/7pm5uhK7xiEM9fQvuCE78l,https://api.spotify.com/v1/audio-analysis/7pm5uhK7xiEM9fQvuCE78l,196522.0,4.0,AOA,Heart Attack,
64,0.544,0.94,7.0,0.076,0.0,0.0517,0.0423,0.0,0.599,0.419,127.978,audio_features,5zMSAi7u8ltE97q4jZ1jqW,spotify:track:5zMSAi7u8ltE97q4jZ1jqW,https://api.spotify.com/v1/tracks/5zMSAi7u8ltE97q4jZ1jqW,https://api.spotify.com/v1/audio-analysis/5zMSAi7u8ltE97q4jZ1jqW,194933.0,4.0,APRIL,LALALILALA,
